COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M48762,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical
M52603,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phospholipid Metabolism
M19130,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phospholipid Metabolism
M19132,"1,2-distearoyl-GPC (18:0/18:0)",Lipid,Phospholipid Metabolism
M34404,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism
M32391,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism
M20675,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M34400,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism
M44621,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen
M52689,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen
M52673,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen
M52682,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen
M52677,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen
M52478,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen
M52477,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen
M52713,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,Plasmalogen
M52716,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen
M52474,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen
M39270,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen
M52475,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen
M52748,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen
